ID,Wind speed in km/h,Water temperature in degrees Celsius,Waterfowl population,Wave Action,Turbidity of water (NTUs)
1,5,22.6,12,Low,0.9
2,5,21.9,30,Low,0.6
3,5,24.3,20,Low,0.1
4,5,21.3,12,Low,NA
5,5,21.3,30,Low,0.2
6,5,21.4,NA,Low,0.6
7,10,21.3,10,Low,1.3
8,10,21.5,60,Low,1.8
9,10,22,50,Low,2
10,10,21.8,85,Low,1.9
11,NA,17.3,12,Low,2
12,NA,18.1,23,Low,1.8
13,NA,17.4,15,Moderate,1.4
14,10,17.5,30,Low,1.7
15,NA,18.8,6,Moderate,1.8
16,20,13,18,Moderate,4
17,17,14.9,8,Moderate,1.2
18,17,14.3,12,Low,2
19,NA,14.1,20,Moderate,1
20,13,14.94,NA,Moderate,1.6
21,NA,15.6,72,Low,1.7
22,NA,NA,NA,None,NA
23,5,15.1,44,Low,NA
24,7,16.1,6,Low,0.9
25,11,16.2,10,Low,0.9
26,26,17.5,36,Low,1
27,NA,8.8,45,Low,2.5
28,11,16.3,15,Low,1.5
29,11,17.2,12,Moderate,1.8
30,17,17.11,62,Moderate,0.8
31,9,16.3,42,Low,0.7
32,15,17.1,17,Moderate,0.7
33,6,17.5,25,Low,0.7
34,7,19.3,12,High,4.5
35,NA,15.9,5,Moderate,0.8
36,4,18.2,30,Moderate,3.8
37,5,16.1,3,Low,1.7
38,9,17.9,60,Moderate,0.8
39,24,13.5,12,High,6.2
40,24,9,8,High,1.2
41,22,7.6,24,Low,1.4
42,5,10.2,7,Low,2.2
43,9,12.8,53,Moderate,2.1
44,6,12.6,12,Low,1.3
45,NA,17.1,NA,Moderate,2.4
46,15,17,40,Low,1.2
47,5,16.5,40,Low,1.1
48,4,18.5,10,Low,1.1
49,7,18.5,NA,NA,0.4
50,5,16.12,NA,Low,0.4
51,5,18,7,Low,0.4
52,5,20.4,15,Low,0.5
53,5,21.5,5,Low,0.3
54,15,21.4,10,Low,0.4
55,4,23.2,7,NA,0.2
56,27,23.6,140,Moderate,0.9
57,26,18.7,50,Moderate,2.7
58,9,15.2,10,Moderate,2.5
59,10,19,5,Moderate,1.4
60,5,17.4,24,Low,0.1
61,15,20,40,Moderate,NA
62,9,15.9,130,Low,0.2
63,NA,17.5,56,Low,1.4
64,20,18.6,30,Moderate,2.1
65,5,17.4,30,Low,1.5
66,15,17.9,25,Low,0.6
67,15,19,5,Low,1.1
68,17,20.2,100,Moderate,1
69,11,11.1,60,Low,0.1
70,11,16.3,36,Low,1.2
71,8,18.9,25,Low,0.9
72,8,18.7,15,Moderate,1.3
73,4,19.7,50,Low,1.1
74,NA,NA,NA,None,NA
75,NA,14,4,NA,0.1
76,NA,15,12,Low,4.2
77,NA,NA,NA,None,NA
78,NA,13.3,3,Low,5.3
79,NA,16,NA,Low,5.6
80,NA,17,6,Low,5.6
81,NA,17.2,3,Moderate,4.2
82,NA,17.4,4,Low,1.5
83,NA,18.2,9,Moderate,1.8
84,NA,17.2,10,Moderate,1.6
85,10,17.8,10,Low,2.5
86,NA,18.5,NA,Moderate,1.7
87,20,NA,NA,None,NA
88,17,14.9,13,Moderate,2.1
89,17,14,2,Low,2
90,NA,15.4,50,High,2.5
91,13,15.25,10,Low,3.1
92,NA,16,NA,NA,2.2
